title,price,beds,baths,sqft,neighborhood,address,url
Rental unit in Murray Hill,6598,,,,Murray Hill,626 1st Avenue #W33L,https://streeteasy.com/building/the-copper/w33l
Rental unit in West Chelsea,6250,,,,West Chelsea,606 West 30th Street #26G,https://streeteasy.com/building/606w30-606-west-30th-street-new_york/26g
Rental unit in Financial District,5285,,,,Financial District,55 Broad Street #221,https://streeteasy.com/building/55-broad-street-new_york/221?infeed=1
Rental unit in Financial District,6360,,,,Financial District,84 William Street #P103,https://streeteasy.com/building/the-howell/p103
Rental unit in Hell's Kitchen,4400,,,,Hell's Kitchen,330 West 56th Street #4C,https://streeteasy.com/building/330-west-56-street-new_york/4c
Rental unit in Hudson Yards,6295,,,,Hudson Yards,555 10th Avenue #48I,https://streeteasy.com/building/555ten-555-10th-avenue-new_york/48i
Rental unit in Chelsea,6795,,,,Chelsea,335 8th Avenue #405,https://streeteasy.com/building/mabel-335-8th-avenue-new_york/405
Rental unit in Fulton/Seaport,5849,,,,Fulton/Seaport,19 Dutch Street #48F,https://streeteasy.com/building/19-dutch/48f
Mixed-use Buildingin Hamilton Heights,2800,,,,Mixed-use Buildingin Hamilton Heights,1848 Amsterdam Avenue #3D,https://streeteasy.com/building/1848-amsterdam-avenue-new_york/3d
Rental unit in Central Harlem,3950,,,,Central Harlem,2035 5th Avenue #7F,https://streeteasy.com/building/ray-harlem/7f?infeed=1
Rental unit in Lincoln Square,5495,,,,Lincoln Square,21 West End Avenue #2813,https://streeteasy.com/building/21-west-end-avenue-new_york/2813
Rental unit in Tribeca,5950,,,,Tribeca,95 Worth Street #1007,https://streeteasy.com/building/saranac-95-worth-street-new_york/1007
Rental unit in Hudson Yards,5465,,,,Hudson Yards,555 10th Avenue #15F,https://streeteasy.com/building/555ten-555-10th-avenue-new_york/15f
Rental unit in Kips Bay,5595,,,,Kips Bay,154 East 29th Street #1607,https://streeteasy.com/building/habitat-154-east-29th-street-new_york/1607
Rental unit in Murray Hill,6250,,,,Murray Hill,509 3rd Avenue #29G,https://streeteasy.com/building/the-murray/29g?featured=1
